,Departamento,Capital,Barrio,long,lat
0,HUILA,NEIVA (CT),LAS GRANJAS,-75.2911844,2.9463228999999997
1,HUILA,NEIVA (CT),MANZANARES,-75.2688498,2.9072527999999997
3,HUILA,NEIVA (CT),CENTRO,-75.2891733,2.9263127
6,HUILA,NEIVA (CT),ZONA INDUSTRIAL,-75.28724526345205,2.9151418500000004
7,HUILA,NEIVA (CT),EL JARDIN,-75.2689421,2.9413298
8,HUILA,NEIVA (CT),TERMINAL,-75.2891733,2.9263127
9,HUILA,NEIVA (CT),OBRERO,-75.27477859999999,2.9270362999999997
12,HUILA,NEIVA (CT),EDUARDO SANTOS,-75.28594220000001,2.9746182
13,HUILA,NEIVA (CT),BUGANVILES,-75.2651187,2.9390807
14,HUILA,NEIVA (CT),LAS AMERICAS,-75.27064140000002,2.9249188999999998
15,HUILA,NEIVA (CT),LA COLINA,-75.2738988,2.9373225
18,HUILA,NEIVA (CT),TIMANCO,-75.2740448,2.9104638
19,HUILA,NEIVA (CT),LOS COLORES,-75.25607020000001,2.9439782
20,HUILA,NEIVA (CT),LA TOMA,-75.28551159999999,2.9320121
21,HUILA,NEIVA (CT),EL TRIANGULO,-75.3056793,2.9444183999999995
22,HUILA,NEIVA (CT),SAN CARLOS,-75.2652985,2.9239117
24,HUILA,NEIVA (CT),PRADO ALTO,-75.2686892,2.9300776
26,HUILA,NEIVA (CT),LA LIBERTAD,-75.2771175,2.9365723999999997
27,HUILA,NEIVA (CT),SANTA INES,-75.300289,2.9476201
28,HUILA,NEIVA (CT),ALTICO,-75.2825088,2.9295497000000004
34,HUILA,NEIVA (CT),DARIO ECHANDIA,-75.28812690000001,2.9797119999999997
35,HUILA,NEIVA (CT),CANDIDO LEGUIZAMO,-75.296942,2.9479686000000003
36,HUILA,NEIVA (CT),LOS GUADUALES,-75.25936800000001,2.9420808
38,HUILA,NEIVA (CT),LOS CAMBULOS,-75.2881189,2.9436002999999995
39,HUILA,NEIVA (CT),QUIRINAL,-75.2902452,2.9355767000000004
40,HUILA,NEIVA (CT),IPANEMA,-75.2572818,2.9320465
41,HUILA,NEIVA (CT),EL OASIS,-75.2632132,2.9017171000000004
45,HUILA,NEIVA (CT),DIEGO DE OSPINA,-75.2813488,2.9226473
46,HUILA,NEIVA (CT),LOS DUJOS,-75.30235167716098,2.9418488
47,HUILA,NEIVA (CT),SEVILLA,-75.2913503,2.9383947
53,HUILA,NEIVA (CT),MERCANEIVA,-75.2832008679158,2.8941421000000003
56,HUILA,NEIVA (CT),AEROPUERTO,-75.29367903099869,2.9513073
58,HUILA,NEIVA (CT),TENERIFE,-75.2835182,2.9409984000000002
62,HUILA,NEIVA (CT),EL LIMONAR,-75.2628027,2.9090122000000003
63,HUILA,NEIVA (CT),VEREDA EL VENADO,-75.27497340000001,2.9852406000000005
64,HUILA,NEIVA (CT),MANSIONES DEL NORTE,-75.300516,2.9558334
67,HUILA,NEIVA (CT),OASIS III,-75.2632132,2.9017171000000004
68,HUILA,NEIVA (CT),CAMILO TORRES,-75.3044133,2.9493472
69,HUILA,NEIVA (CT),LA ORQUIDEA,-75.26507110317355,2.9386825
71,HUILA,NEIVA (CT),EL LAGO,-75.3005556,2.9334016
72,HUILA,NEIVA (CT),TENERIFE BAJO,-75.2835182,2.9409984000000002
74,HUILA,NEIVA (CT),CAMPO NUÑEZ,-75.2861144,2.9365257000000002
76,HUILA,NEIVA (CT),ALBERTO GALINDO,-75.282269,2.9806602000000004
78,HUILA,NEIVA (CT),CANAIMA,-75.2755554,2.9063742
86,HUILA,NEIVA (CT),VEREDA EL VERGEL,-75.2610552,2.937065
88,HUILA,NEIVA (CT),VILLA NAZARETH,-75.2905087,2.9766369999999998
92,HUILA,NEIVA (CT),PIGOANZA,-75.29024819332552,2.92695815
95,HUILA,NEIVA (CT),SURABASTOS,-75.28028359635323,2.8936768
96,HUILA,NEIVA (CT),CALAMARI,-75.2963413,2.9704947
97,HUILA,NEIVA (CT),VIRGILIO BARCO,-75.2876978,2.9690191
98,HUILA,NEIVA (CT),CHICALA,-75.2978258,2.9650119
100,HUILA,NEIVA (CT),MONSERRATE,-75.2728692,2.9349105
104,HUILA,NEIVA (CT),LA INDEPENDENCIA,-75.2891733,2.9263127
108,HUILA,NEIVA (CT),LA RIOJA,-75.2556299042175,2.9425524000000003
110,HUILA,NEIVA (CT),LA CARRETERA,-75.2891733,2.9263127
111,HUILA,NEIVA (CT),ESTADIO URDANETA,-75.28486445199579,2.9230901
113,HUILA,NEIVA (CT),MUNICIPAL,-75.29595735000002,2.9588464
114,HUILA,NEIVA (CT),NOVENA BRIGADA,-75.2814798,2.9405999
117,HUILA,NEIVA (CT),ALAMOS NORTE,-75.2867105,2.9552696
119,HUILA,NEIVA (CT),LA GAITANA,-75.2725437,2.9306216
122,HUILA,NEIVA (CT),VEREDA EL TRIUNFO,-75.2494332,2.9422356
129,HUILA,NEIVA (CT),JOSE EUSTACIO RIVERA,-75.2873891,2.9396155
130,HUILA,NEIVA (CT),LOS PARQUES,-75.2664357,2.9262688999999997
131,HUILA,NEIVA (CT),VILLA CAROLINA,-75.285768,2.9579647000000002
132,HUILA,NEIVA (CT),SAN JORGE,-75.2719834,2.9048365
133,HUILA,NEIVA (CT),EL CORTIJO,-75.2894973,2.9609294999999998
134,HUILA,NEIVA (CT),CIUDAD SALITRE,-75.24954709999999,2.9446425
145,HUILA,NEIVA (CT),EL TIZON,-75.30313844422348,2.9428669000000003
147,HUILA,NEIVA (CT),X,-75.2891733,2.9263127
149,HUILA,NEIVA (CT),VICENTE ARAUJO,-75.2900581,2.9735191000000003
157,HUILA,NEIVA (CT),CEMENTERIO CENTRAL,-75.29550603855066,2.93405075
160,HUILA,NEIVA (CT),PRADO NORTE,-75.2824787,2.9558487999999996
162,HUILA,NEIVA (CT),EL COCLI,-75.28939364155025,2.9586339
163,HUILA,NEIVA (CT),LOS SAMANES,-75.2891733,2.9263127
164,HUILA,NEIVA (CT),TERMINALITO,-75.30280490000001,2.9410721
166,HUILA,NEIVA (CT),VEREDA LA PRADERA,-75.2889027946037,2.95734635
167,HUILA,NEIVA (CT),LOS ANDAQUIES,-75.30105,2.9402607000000005
169,HUILA,NEIVA (CT),LA RIVIERA,-75.29505571066352,2.96527785
176,HUILA,NEIVA (CT),SAN NICOLAS,-75.30180447225449,2.9416507000000003
